FLAT PLATE (3% DIAMOND)
   1.0000000   0.0000000
   0.9993977   0.0000181
   0.9975924   0.0000722
   0.9945883   0.0001624
   0.9903926   0.0002882
   0.9850156   0.0004495
   0.9784702   0.0006459
   0.9707720   0.0008768
   0.9619398   0.0011418
   0.9519946   0.0014402
   0.9409606   0.0017712
   0.9288643   0.0021341
   0.9157348   0.0025280
   0.9016038   0.0029519
   0.8865052   0.0034048
   0.8704756   0.0038857
   0.8535534   0.0043934
   0.8357795   0.0049266
   0.8171966   0.0054841
   0.7978497   0.0060645
   0.7777851   0.0066664
   0.7570514   0.0072885
   0.7356984   0.0079290
   0.7137775   0.0085867
   0.6913417   0.0092597
   0.6684449   0.0099467
   0.6451423   0.0106457
   0.6214901   0.0113553
   0.5975452   0.0120736
   0.5733652   0.0127990
   0.5490086   0.0135297
   0.5245338   0.0142640
   0.5000000   0.0150000
   0.4754662   0.0142640
   0.4509914   0.0135297
   0.4266348   0.0127990
   0.4024548   0.0120736
   0.3785099   0.0113553
   0.3548577   0.0106457
   0.3315551   0.0099467
   0.3086583   0.0092597
   0.2862225   0.0085867
   0.2643016   0.0079290
   0.2429486   0.0072885
   0.2222149   0.0066664
   0.2021503   0.0060645
   0.1828034   0.0054841
   0.1642205   0.0049266
   0.1464466   0.0043934
   0.1295244   0.0038857
   0.1134948   0.0034048
   0.0983962   0.0029519
   0.0842652   0.0025280
   0.0711357   0.0021341
   0.0590394   0.0017712
   0.0480054   0.0014402
   0.0380602   0.0011418
   0.0292280   0.0008768
   0.0215298   0.0006459
   0.0149844   0.0004495
   0.0096074   0.0002882
   0.0054117   0.0001624
   0.0024076   0.0000722
   0.0006023   0.0000181
   0.0000000   0.0000000
   0.0006023  -0.0000181
   0.0024076  -0.0000722
   0.0054117  -0.0001624
   0.0096074  -0.0002882
   0.0149844  -0.0004495
   0.0215298  -0.0006459
   0.0292280  -0.0008768
   0.0380602  -0.0011418
   0.0480054  -0.0014402
   0.0590394  -0.0017712
   0.0711357  -0.0021341
   0.0842652  -0.0025280
   0.0983962  -0.0029519
   0.1134948  -0.0034048
   0.1295244  -0.0038857
   0.1464466  -0.0043934
   0.1642205  -0.0049266
   0.1828034  -0.0054841
   0.2021503  -0.0060645
   0.2222149  -0.0066664
   0.2429486  -0.0072885
   0.2643016  -0.0079290
   0.2862225  -0.0085867
   0.3086583  -0.0092597
   0.3315551  -0.0099467
   0.3548577  -0.0106457
   0.3785099  -0.0113553
   0.4024548  -0.0120736
   0.4266348  -0.0127990
   0.4509914  -0.0135297
   0.4754662  -0.0142640
   0.5000000  -0.0150000
   0.5245338  -0.0142640
   0.5490086  -0.0135297
   0.5733652  -0.0127990
   0.5975452  -0.0120736
   0.6214901  -0.0113553
   0.6451423  -0.0106457
   0.6684449  -0.0099467
   0.6913417  -0.0092597
   0.7137775  -0.0085867
   0.7356984  -0.0079290
   0.7570514  -0.0072885
   0.7777851  -0.0066664
   0.7978497  -0.0060645
   0.8171966  -0.0054841
   0.8357795  -0.0049266
   0.8535534  -0.0043934
   0.8704756  -0.0038857
   0.8865052  -0.0034048
   0.9016038  -0.0029519
   0.9157348  -0.0025280
   0.9288643  -0.0021341
   0.9409606  -0.0017712
   0.9519946  -0.0014402
   0.9619398  -0.0011418
   0.9707720  -0.0008768
   0.9784702  -0.0006459
   0.9850156  -0.0004495
   0.9903926  -0.0002882
   0.9945883  -0.0001624
   0.9975924  -0.0000722
   0.9993977  -0.0000181
   1.0000000  -0.0000000
